@relation B.arff
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.2,1,2.5,2.5128
0.2,1,3.5,2.5128
0.2,1,5,2.5112
0.2,1,6,2.5104
0.2,1,7.3,2.5096
0.2,1,8,2.5088
0.2,1,10,2.508
0.2,1,12.5,2.5072
0.2,1,15,2.5064
0.2,1,17.5,2.5064
0.2,1,18.5,2.5072
0.2,1,20,2.5072
0.2,1,22.5,2.5072
0.2,1,27.5,2.5072
0.2,1,30,2.508
0.2,1,32.5,2.508
0.2,1,35,2.5088
0.2,1,37.5,2.5088
0.2,1,40,2.5096
0.2,1,45,2.5096
0.2,2,2.5,2.5128
0.2,2,3.5,2.5088
0.2,2,5,2.504
0.2,2,6,2.5008
0.2,2,7.3,2.4984
0.2,2,8,2.4968
0.2,2,10,2.4936
0.2,2,12.5,2.4904
0.2,2,15,2.4904
0.2,2,17.5,2.4904
0.2,2,18.5,2.4912
0.2,2,20,2.4912
0.2,2,22.5,2.4928
0.2,2,27.5,2.4944
0.2,2,30,2.4952
0.2,2,32.5,2.496
0.2,2,35,2.4976
0.2,2,37.5,2.4984
0.2,2,40,2.4992
0.2,2,45,2.5008
0.2,3,2.5,2.5016
0.2,3,3.5,2.4936
0.2,3,5,2.488
0.2,3,6,2.48
0.2,3,7.3,2.4744
0.2,3,8,2.4712
0.2,3,10,2.4672
0.2,3,12.5,2.4632
0.2,3,15,2.4632
0.2,3,17.5,2.4632
0.2,3,18.5,2.464
0.2,3,20,2.4648
0.2,3,22.5,2.4688
0.2,3,27.5,2.472
0.2,3,30,2.4744
0.2,3,32.5,2.4776
0.2,3,35,2.4808
0.2,3,37.5,2.4824
0.2,3,40,2.4848
0.2,3,45,2.4888
0.2,4,2.5,2.4728
0.2,4,3.5,2.4616
0.2,4,5,2.4416
0.2,4,6,2.4384
0.2,4,7.3,2.436
0.2,4,8,2.4328
0.2,4,10,2.4272
0.2,4,12.5,2.4232
