@relation luster5
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.2,1,17.5,2.5064
0.2,1,18.5,2.5072
0.2,1,20,2.5072
0.2,1,22.5,2.5072
0.2,1,27.5,2.5072
0.2,1,30,2.508
0.2,1,32.5,2.508
0.2,1,35,2.5088
0.2,1,37.5,2.5088
0.2,1,40,2.5096
0.2,2,17.5,2.4904
0.2,2,18.5,2.4912
0.2,2,20,2.4912
0.2,2,22.5,2.4928
0.2,2,27.5,2.4944
0.2,2,30,2.4952
0.2,2,32.5,2.496
0.2,2,35,2.4976
0.2,3,20,2.4648
0.2,3,22.5,2.4688
0.2,3,27.5,2.472
0.2,3,30,2.4744
0.2,3,32.5,2.4776
0.2,4,22.5,2.4336
0.2,4,27.5,2.4432
